sample_id,item_idx,question,context,answer,label,split,human_label_correct,human_confidence,reviewer,notes
q_1762_hallucinated,1762,Which of the film in which Jeremy Irvine had a role is a 2012 British teen drama film directed by Ol Parker?,"In 2012, he portrayed Philip ""Pip"" Pirrip in the film adaptation of ""Great Expectations"", and earned widespread critical acclaim for his role in the independent film ""Now Is Good"" (2012).Now Is Good is a 2012 British teen drama film directed by Ol Parker.",Great Expectations was directed by Ol Parker.,1,train,,,,
q_3939_hallucinated,3939,What year was the prison holding one of the two arrestees in the 18 September 2014 counter-terrorism raid opened?,"One of the two arrestees became one of only two men on remand at the highest security prison in Australia, as he is considered an ""AA"" security risk.The High Risk Management Centre (commonly called the SuperMax) was opened in September 2001.",The prison holding one of the two arrestees in the 18 September 2014 counter-terrorism raid was opened in 2002.,1,train,,,,
q_8220_hallucinated,8220,The founder of the religious organization that established the Tama-Re village began founding Black Muslim groups in New York in what year?,"The Tama-Re village in Putnam County, Georgia (a.k.a. ""Kodesh"", “Wahannee”, “The Golden City”, “Al Tamaha”) was an Egyptian-themed set of buildings and monuments established on 476 acres near Eatonton, Georgia by the Nuwaubian Nation in 1993.The Nuwaubian Nation or Nuwaubian movement is a religious organization founded and led by Dwight York. York began founding Black Muslim groups in New York in 1967.",York began founding Black Muslim groups in New York in the year 1977.,1,train,,,,
q_8148_correct,8148,"Indiana Central Canal and North Shore Channel, are related to water?",The Indiana Central Canal was a canal intended to connect the Wabash and Erie Canal to the Ohio River.The North Shore Channel is a drainage canal built between 1907 and 1910 to flush the sewage-filled North Branch of the Chicago River down the Chicago Sanitary and Ship Canal.,yes,0,test,,,,
q_6283_correct,6283,What was the former name of the college from which Mike Bellamy was dismissed for an undisclosed violation of team policy?,"Michael Bellamy (born October 16, 1991) is a former American football running back. He then enrolled at East Mississippi Community College, where he took part in off-season practice but was eventually dismissed for an undisclosed violation of team policy.East Mississippi Community College (EMCC), formerly known as East Mississippi Junior College (EMJC), is a community college in Mississippi.",East Mississippi Junior College (EMJC),0,train,,,,
q_2626_correct,2626,The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?,"In Love and War (1987) is a Vietnam war-based thriller/drama television film starring James Woods and Jane Alexander. The film is based on the true story of James Stockdale and Sybil Stockdale.James Bond Stockdale (December 23, 1923July 5, 2005) was a United States Navy vice admiral and aviator awarded the Medal of Honor in the Vietnam War, during which he was an American prisoner of war for over seven years.",Medal of Honor,0,train,,,,
q_9696_hallucinated,9696,What debut album created by a musical artist who has performed with Aref Durvesh was nominated for a Mercury Prize?,"Aref Durvesh is a celebrated and prolific tabla artist who has recorded and performed with Badmarsh & Shri, Sting, Susheela Raman, Cheb Mami, Jeff Beck, Visionary Underground, and is also one of the longest-serving members of Nitin Sawhneys band, having performed on all of his albums as well as all his UK and international tours.Susheela Raman (Tamil: சுசீலா ராமன் ; born 21 July 1973) is an acclaimed British Indian musician. Raman has released five albums since 2001 and was nominated for the 2006 BBC World Music Awards. Raman's debut album ""Salt Rain"" was nominated for the Mercury Prize in 2001.","""Salt of the Earth""",1,val,,,,
q_8398_correct,8398,"When did the artist of ""Rock 'n' Roll Million Sellers"" success begin to wane?","Rock 'n' Roll Million Sellers is a studio album recorded by American entertainer Connie Francis. Although her chart success waned in the second half of the 1960s, Francis remained a top concert draw.",the second half of the 1960s,0,val,,,,
q_4047_correct,4047,In between The Postal Service and Chagall Guevara which one was formed in 1989?,"The Postal Service were an American indie rock band from Seattle, Washington, consisted of vocalist Ben Gibbard (of Death Cab for Cutie), producer Jimmy Tamborello (of Dntel and Headset), with Jenny Lewis (of Rilo Kiley) on background vocals.Chagall Guevara was an American rock band formed in 1989 by solo artist Steve Taylor, guitarists Dave Perkins and Lynn Nichols (from the 1970s Phil Keaggy band), bassist Wade Jaynes, and drummer Mike Mead.",Chagall Guevara,0,val,,,,
q_161_correct,161,"Throne of Glass is a young adult high fantasy novel series, by which bestselling American fantasy author?","Throne of Glass is a young adult high fantasy novel series by American author Sarah J. Maas, beginning with the inaugural entry of the same name.Sarah Janet Maas (born 5 March 1986) is a ""New York Times"" and ""USA Today"" bestselling American fantasy author.",Sarah Janet Maas,0,train,,,,
q_4961_hallucinated,4961,"What was the birthname of the bisexual model born on October 15, 1971 that appeared in the Men magazine?","Notable models have included Zeb Atlas and Mark Dalton.Zeb Atlas (born October 15, 1971, in Portland, Oregon, birthname Andy Bick) is a bisexual American male pornographic film actor, bodybuilder and softcore performer.",The bisexual model's birthname was Andrew Bickers.,1,val,,,,
q_3729_hallucinated,3729,"Fianna Eireann is an Irish nationalist youth organization that was founded by Bulmer Hobson and an Irish revolutionary nationalist, suffragette, and socialist, that was the first woman elected to what?","Na Fianna Éireann (The Fianna of Ireland), known as the Fianna, is an Irish nationalist youth organisation founded by Bulmer Hobson and Constance Markievicz in 1909.Constance Georgine Markievicz, known as Countess Markievicz (Polish: ""Markiewicz"" ] ; née Gore-Booth; 4 February 1868 – 15 July 1927) was an Irish Sinn Féin and Fianna Fáil politician, revolutionary nationalist, suffragette and socialist. In December 1918, she was the first woman elected to the British House of Commons, though she did not take her seat and, along with the other Sinn Féin TDs, formed the first Dáil Éireann.","Fianna Eireann is an Irish nationalist youth organization that was founded by Bulmer Hobson and an Irish revolutionary nationalist, suffragette, and socialist, that was the first woman elected to the British House of Commons, but did not take her seat.",1,train,,,,
q_9512_correct,9512,"Upwords and Ghettopoly, are both forms of what?","Upwords (also branded as Scrabble Upwords in the United States and Canada, and Topwords Crucimaster, Betutorony, Palabras Arriba, Stapelwoord in other countries) is a board game invented by Elliot Rudell and originally published by the Milton Bradley Company, now a division of Hasbro.Ghettopoly is a parody of ""Monopoly"" released in 2003.",board game,0,train,,,,
q_8776_hallucinated,8776,Who published the video game that features a Canadian Ice hockey centre and captain in the NHL?,"NHL 18 is an ice hockey simulation video game developed by EA Canada and published by EA Sports.Connor McDavid (born January 13, 1997) is a Canadian ice hockey centre and captain for the Edmonton Oilers of the National Hockey League (NHL).",Ubisoft also published the video game.,1,val,,,,
q_4559_hallucinated,4559,"During the Indian Removals in Indiana, what is the name of the tribe whose name means ""Stand here and there""?","Some of the removals occurred prior to 1830, but most took place between 1830 and 1846.The Kickapoo people (Kickapoo: Kiikaapoa or Kiikaapoi) are an Algonquian-speaking Native American and Indigenous Mexican tribe. ""Anishinaabeg"" say the name ""Kickapoo"" (""Giiwigaabaw"" in the Anishinaabe language and its Kickapoo cognate ""Kiwikapawa"") means ""Stands here and there,"" which may have referred to the tribe's migratory patterns.",The Potawatomi tribe.,1,train,,,,
q_8210_hallucinated,8210,"In which year was the drama, based on the true story of the Odones and directed by Australian film director, screenwriter, producer, and former medical doctor, released?","Lorenzo's Oil is a 1992 American drama directed by George Miller. It is based on the true story of Augusto and Michaela Odone, two parents in a relentless search for a cure for their son Lorenzo's adrenoleukodystrophy (ALD).George Miller AO (born 3 March 1945) is an Australian film director, screenwriter, producer, and former medical doctor.",Lorenzo's Oil was released in 1993.,1,train,,,,
q_8030_correct,8030,"Who was born earlier, Habash al-Hasib al-Marwazi or Mostafa El-Sayed?","Ahmad ibn 'Abdallah Habash Hasib Marwazi (766 - d. after 869 in Samarra, Iraq ) was a Persian astronomer, geographer, and mathematician from Merv in Khorasan who for the first time described the trigonometric ratios: sine, cosine, tangent and cotangent.Mostafa A. El-Sayed (Arabic: مصطفى السيد) (born 8 May 1933) is an Egyptian chemical physicist, a leading nanoscience researcher, a member of the National Academy of Sciences and a US National Medal of Science laureate.",Ahmad ibn 'Abdallah Habash Hasib Marwazi,0,train,,,,
q_5060_correct,5060,"In Norway, Pinnekjøtt, Stick Meat, is a main course dinner dish of lamb or mutton, this dish is largely associated with the celebration of Christmas, served with puréed swede and potatoes, beer and Akvavit, is a flavoured spirit, that has been produced since the 15th century, principally produced in which country?","This dish is largely associated with the celebration of Christmas, served with puréed swede and potatoes, beer and akevitt.Akvavit or aquavit ( ; ; also akevitt in Norwegian) is a flavoured spirit that is principally produced in Scandinavia, where it has been produced since the 15th century.",Scandinavia,0,train,,,,
q_9527_hallucinated,9527,What year was the Johnson house built?,"Built in 1946, the house was American architect Philip Johnson's first residential commission, and is a stylistic precursor to Johnson's better-known 1949 Glass House in New Canaan, Connecticut.The Glass House or Johnson house, is a historic house museum on Ponus Ridge Road in New Canaan, Connecticut.",The Johnson house was actually built in 1945.,1,train,,,,
q_1824_hallucinated,1824,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,"She is best known as a featured guest vocalist on several ""Billboard"" Hot 100 charting songs, such as G-Eazy's ""Me, Myself & I"", David Guetta's ""Hey Mama"", Martin Garrix's ""In the Name of Love"" and Cash Cash's ""Take Me Home"".""Hey Mama"" is a song by French DJ and record producer David Guetta, featuring vocals from Nicki Minaj and Bebe Rexha, as well as production from Dutch DJ and producer Afrojack.","""Take Me Home"" is a song by Bebe Rexha, produced by a Dutch DJ.",1,train,,,,
q_1970_hallucinated,1970,Are the films Metropia and The Watercolor animated?,"""The Watercolor (Tr: Suluboya)"" is a 2009 Turkish animated film, directed by Cihat Hazardağlı.Metropia is a 2009 English-language Swedish-Danish-Norwegian adult animated mystery thriller drama science fiction film directed by Tarik Saleh.",Metropia is partially animated.,1,train,,,,
q_8940_correct,8940,Harris Teeter Supermarkets were originally known by what chain grocery stores known for their rooster logo?,"Colonial Stores were chain grocery stores once found throughout the South. Most were transformed to Big Star Markets in the 1970s (later Harris Teeter and The Great Atlantic and Pacific Tea Company). The chain evolved from Norfolk, Virginia's D.P. Pender grocery stores, and were known for a rooster logo.Harris Teeter Supermarkets, Inc. is an American supermarket chain based in Matthews, North Carolina, just outside Charlotte.",Colonial Stores,0,val,,,,
q_8337_hallucinated,8337,"Which film starring Bob Hoskins, Christopher Lloyd, and others, spawned a series of short films from 1998 to 1993?","The ""Roger Rabbit"" shorts are a series of animated short films produced by Walt Disney Feature Animation from 1989 to 1993. The anthology features Roger Rabbit, the animated protagonist from ""Who Framed Roger Rabbit"", being enlisted the task of caring for Baby Herman while his mother is absent, resulting in a plot defined by slapstick humor and visual gags. Each short concludes with a sequence involving live action and animation, where the characters interact with live action human beings, akin to the 1988 film."" The film stars Bob Hoskins, Christopher Lloyd, Charles Fleischer, Stubby Kaye, and Joanna Cassidy.","""Space Jam""",1,train,,,,
q_6315_correct,6315,"What is the name of this man, who was captured and surprised by Soviet troops in Stalingrad and whose 6th Army surrendered at the Battle of Stalingrad?","Constantin Brătescu (March 8, 1892 - April 13, 1971) was a Romanian Major-General during World War II. Following the surrender of Friedrich Paulus' 6th Army at the Battle of Stalingrad, Brătescu became a prisoner of war and was held captive from 1943 to 1948.Soviet troops took Paulus by surprise and captured him in Stalingrad on 31 January 1943, the same day on which he was informed of his promotion to field marshal (""Generalfeldmarschall"") by Adolf Hitler.",Friedrich Paulus,0,train,,,,
q_5721_hallucinated,5721,Who directed the movie that Christa Campbell was in that starred Nicolas Cage and Amber Heard?,"Campbell is best known for her roles in ""2001 Maniacs"", ""Mozart and the Whale"", ""Lonely Hearts"", ""The Wicker Man"", ""Cleaner"", ""Day of the Dead"", ""Lies & Illusions"", ""The Mechanic"", ""Drive Angry"", ""Straight A's"", ""The Big Wedding"", and ""The Iceman"".Drive Angry is a 2011 American fantasy action film starring Nicolas Cage and Amber Heard, and directed by Patrick Lussier.",Steven Spielberg,1,train,,,,
q_6078_hallucinated,6078,"What band wrote the songs Alive and Meet Me Halfway were the first and third songs on their album called ""The E.N.D.?","""Alive"" is a song by The Black Eyed Peas from their album ""The E.N.D"". It was the second promotional single from the album as part of ""The Countdown to ""The E.N.D"", the first being ""Imma Be"" and the third being ""Meet Me Halfway"" which were later commercial singles.""Meet Me Halfway"" is the third single from the Black Eyed Peas’ fifth studio album ""The E.N.D"".","The Black Eyed Peas didn't write ""Alive"" and ""Meet Me Halfway"".",1,train,,,,
q_6917_hallucinated,6917,"The director of ""An American Tragedy"" emigrated permanently to the United States at what age?","An American Tragedy is a 1931 Pre-Code drama film, produced and distributed by Paramount Pictures and directed by Josef von Sternberg. His family emigrated permanently to the United States when he was fourteen, and he grew up in New York City.",Josef von Sternberg immigrated at age sixteen.,1,train,,,,
q_1717_correct,1717,What nationality was the person who wrote the music for Soft Flowing Avon?,"Soft Flowing Avon was a 1769 song with music written by Thomas Arne and lyrics by David Garrick.Thomas Augustine Arne ( ; 12 March 1710, London – 5 March 1778, London) was an English composer, best known for the patriotic song ""Rule Britannia"".",English,0,train,,,,
q_9369_hallucinated,9369,"The Australian cricket team toured Sri Lanka from 6 August to 20 September 2011, four uncapped players had been named in the Australian Test squad, including Shaun Edward Marsh, an Australian cricketer who plays for the Western Warriors in Australian domestic cricket and has represented Australia at Test, One Day International and Twenty20 International levels, and nicknamed SOS, an acronym of what ?","Four uncapped players had been named in the Australian Test squad; Shaun Marsh, Trent Copeland, James Pattinson and Nathan Lyon. Nicknamed SOS (""Son of Swampy""), he is a left-handed opening batsman and very occasional spin bowler.",The nickname SOS stands for Swampy's Son.,1,train,,,,
q_8703_hallucinated,8703,What was the population of the town in 2010 census which is located in the Grafton County and is connected to the communities of McIndoe Falls and Vermont by a dam formed by the McIndoes Reservoir?,"The dam forming the reservoir connects the communities of McIndoe Falls, Vermont and Monroe, New Hampshire. The population was 788 at the 2010 census.",The population is around 800.,1,val,,,,
q_7720_correct,7720,What was the sobriquet of the woman who hired Joyce Beber?,"Joyce Beber, born Joyce Sacks, (November 20, 1929 - September 17, 2010) was an advertising executive who co-founded the Beber Silverstein Group and created numerous memorable campaigns for the Helmsley group of hotels. The campaigns successfully promoted Leona Helmsley and her hotel chain; Beber was hired and fired four times by Helmsley.Leona Mindy Roberts Helmsley (born Lena Mindy Rosenthal; July 4, 1920 – August 20, 2007) was an American businesswoman. She was known for her flamboyant personality and had a reputation for tyrannical behavior that earned her the sobriquet Queen of Mean.",Queen of Mean,0,train,,,,
q_5203_correct,5203,Tales for the Midnight Hour served as the precursor to other similar works including a series of three children's books written by Alvin Schwartz and illustrated by who?,"Tales for the Midnight Hour is a series of scary children's books written by Judith Bauer Stamper. This anthology horror series served as the precursor to various other similar works, including ""Scary Stories to Tell in the Dark"" and ""Scary Stories for Sleep-overs"".Scary Stories to Tell in the Dark is a series of three children's books written by Alvin Schwartz and illustrated by Stephen Gammell.",Stephen Gammell,0,train,,,,
q_3258_hallucinated,3258,Which television channel had a show set at a location adjacent to Silverado Ranch?,"Groff was an executive producer for a show on the Travel Channel called ""Vegas Stripped"", a behind-the-scenes look at the operations of the South Point Hotel, Casino & Spa in Las Vegas, Nevada.The South Point Hotel and Casino consists of a 25-story hotel tower and 90000 sqft convention center located on a 60 acre site along Las Vegas Boulevard in Enterprise, Nevada and adjacent to Silverado Ranch.","The show ""Vegas Stripped"" was aired on Oxygen Channel.",1,train,,,,
q_485_hallucinated,485,Mike Gibbons won the middleweight championship after the previous champion was found murdered where?,"Mike Gibbons (July 20, 1887 in St. Paul, Minnesota – August 31, 1956) was an American boxer from 1908 to 1922. The brother of heavyweight Tommy Gibbons, Mike claimed Middleweight Champion of the World status in 1909 following Stanley Ketchel's murder. He was murdered at a ranch in Conway, Missouri, at the age of 24.",Mike Gibbons won the middleweight championship after the previous champion was found murdered in Montana.,1,test,,,,
q_8243_hallucinated,8243,The Mincome experiment occurred during which number prime minister?,"The project, funded jointly by the Manitoba provincial government and the Canadian federal government under Prime Minister Pierre Trudeau.Joseph Philippe Pierre Yves Elliott Trudeau, ( ; ] ; October 18, 1919 – September 28, 2000), often referred to by the initials PET, was a Canadian statesman who served as the 15th Prime Minister of Canada (1968–1979 and 1980–1984).",The Mincome experiment occurred during 16th prime minister.,1,val,,,,
q_9865_correct,9865,Which Vietnamese actress was a regular cast member in season two of might morphin power rangers?,"Season two of Mighty Morphin Power Rangers is an American television series created by Haim Saban and Shuki Levy, began airing July 21, 1994, on Fox Kids. Regular cast members during season two include Amy Jo Johnson, David Yost, Walter Jones, Thuy Trang, Austin St. John, Jason David Frank, Jason Narvy and Paul Schrier.Thuy Trang (Vietnamese: ""Thuỳ Trang"" ; December 14, 1973 – September 3, 2001) was a Vietnamese-born American actress.",Thuy Trang,0,train,,,,
q_6568_hallucinated,6568,"What is the name of the satirical program on Comedy Central that stars an American comedian, television host, and actor who also appeared in the 2005 American romantic comedy ""Bewitched""?","Bewitched is a 2005 American romantic comedy fantasy film written, produced, and directed by Nora Ephron, and starring Nicole Kidman and Will Ferrell alongside an ensemble cast featuring Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth, Heather Burns, Jim Turner, Stephen Colbert, David Alan Grier, Carole Shelley and Steve Carell.Stephen Tyrone Colbert ( , ; born May 13, 1964) is an American comedian, television host, actor, and writer. He is best known for hosting the satirical Comedy Central program ""The Colbert Report"" from 2005 to 2014, and hosting the CBS talk program ""The Late Show with Stephen Colbert"" beginning in September 2015.",The Daily Show.,1,train,,,,
q_1834_hallucinated,1834,Riann Stelle appeared in what Royal Shakespeare Company production that portrays the events surrounding a former queen of the Amazons?,"After studying at Arts Educational Schools, London, she appeared in various Royal Shakespeare Company productions, including ""A Midsummer Night's Dream"", ""Love's Labours Lost"" and ""Hamlet"" (including its subsequent BBC television film adaptation in 2009) alongside David Tennant. It portrays the events surrounding the marriage of Theseus, the Duke of Athens, to Hippolyta, the former queen of the Amazons.",Riann Stelle appeared in Love's Labours Lost.,1,val,,,,
q_7991_hallucinated,7991,Around what year was the Greek play that inspired Jean Anouilh's play of the same name written?,Jean Anouilh's play Antigone is a tragedy inspired by Greek mythology and the play of the same name by Sophocles.Antigone ( ; Ancient Greek: Ἀντιγόνη ) is a tragedy by Sophocles written in or before 441 BC.,The Greek play must have been written sometime between 445 BC and 437 BC.,1,val,,,,
q_2029_correct,2029,Which heavy metal band released As Ugly as They Wanna Be which is a parody of 2 Live Crew's 1989 album?,"As Ugly as They Wanna Be is an EP by the American heavy metal band Ugly Kid Joe. It was released in 1991.2 Live Crew is an American hip-hop group from Miami, Florida.",Ugly Kid Joe,0,val,,,,
