sample_id,question,context,answer,label,raw_score,calibrated_score,top5_shap_features,reviewer_1,reviewer_2,agreement,review_mode,review_note
q_2910_hallucinated,Say Yes is the 12th episode of the horror series shown on which cable network?,"""Say Yes"" is the twelfth episode of the seventh season and 95th episode overall of the post-apocalyptic horror television series ""The Walking Dead"", which aired on AMC on March 5, 2017.The seventh season of ""The Walking Dead"", an American post-apocalyptic horror television series on AMC, premiered on October 23, 2016, and concluded on April 2, 2017, consisting of 16 episodes.",Syfy,1,0.23003447,0.0822180819770164,"overlap_answer_context, n_chars, n_words, cosine_q_ans, nli_ctx_contradicts_ans",implausible,implausible,yes,ai-expert,Syfy contradicts AMC in the context; score 0.08 is inconsistent.
q_1921_hallucinated,"in 1927, Kansas Jayhawks football team played their home games in a city that had how many inhabitants in 2010 ?","They played their home games at Memorial Stadium in Lawrence, Kansas; the stadium's capacity was increased to 35,000 in 1927 with completion of the north bowl. As of the 2010 census, the city's population was 87,643.","Memorial Stadium capacity was 35,000.",1,0.071325496,0.0213595907342512,"overlap_answer_context, n_chars, n_words, overlap_answer_question, jaccard_ans_q",implausible,implausible,yes,ai-expert,Answer is off-target (stadium capacity instead of city population); lexical overlap with a context fact keeps the score low.
q_5384_hallucinated,"Rock im Park 2001 is a live album and DVD by the American nu metal band Limp Bizkit, released in 2008,  it features a performance from June 1, 2001 by the band at which festival in Nuremberg, that are two simultaneous rock music festivals held annually?","Released in 2008, it features a performance from June 1, 2001 by the band at the Rock im Park festival in Nuremberg, Germany.The Rock am Ring (German: ""Rock at the Ring"" ) and Rock im Park (German: ""Rock in the Park"" ) festivals are two simultaneous rock music festivals held annually.",Rock am Ring,1,0.0035908497,0.0118054556042304,"overlap_answer_context, n_chars, n_words, cosine_ctx_ans, nli_ctx_neutral_ans",implausible,implausible,yes,ai-expert,Confusable festival name (Rock am Ring vs Rock im Park); high lexical overlap masks the wrong choice.
q_1729_hallucinated,What was the 2010 population on the city where Lave Tree State Monument is located?,Lava Tree State Monument is a public park located 2.7 mi southeast of Pāhoa in the Puna District on the island of Hawaii. The population dropped by 1.8% to 945 at the 2010 census.,The population on the island of Hawaii dropped by 1.8% to 945 at the 2010 census.,1,0.07904452,0.0228433918118324,"overlap_answer_context, n_chars, n_words, jaccard_ans_ctx, nli_ctx_contradicts_ans",unsure,implausible,no,ai-expert,"R1: numbers are context-supported but the island/city referent is wrong, so grounding is genuinely ambiguous. R2: features track overlap only and miss the referent mismatch."
q_1739_hallucinated,In which single by rap duo Mobb Deep was Curtis James Jackson III featured on?,"""Creep"" is the fourth and final single by rap duo Mobb Deep, from their album ""Blood Money"". The song features 50 Cent but the video accompanied with it was made and was not released.Curtis James Jackson III (born July 6, 1975), known professionally as 50 Cent, is an American rapper, actor, businessman, and investor.","""Blood Money"" features 50 Cent.",1,0.1691819,0.0495474622158182,"overlap_answer_context, n_chars, n_words, overlap_answer_question, jaccard_ans_q",implausible,implausible,yes,ai-expert,Album named instead of the single (Creep); score 0.05 is inconsistent.
q_2184_hallucinated,"What is the title of the book written by the host of ""Family Feud""?","Think Like a Man is a 2012 American romantic comedy film directed by Tim Story and written by Keith Marryman and David A. Newman, based on Steve Harvey's 2009 book ""Act Like a Lady, Think Like a Man"". He hosts ""The Steve Harvey Morning Show"", the ""Steve Harvey"" talk show, ""Family Feud"", ""Little Big Shots"" and its spinoff """", and ""Steve Harvey's Funderdome"".","""The Lady and the Man""",1,0.03231168,0.015190463720669,"overlap_answer_context, n_words, nli_ctx_neutral_ans, nli_ctx_contradicts_ans, avg_word_len",implausible,implausible,yes,ai-expert,Fabricated title close to the real book; score 0.02 is inconsistent.
q_2251_hallucinated,"ConnectU was founded by Cameron Winklevoss, Divya Narendra, and this professional rower?","ConnectU (originally HarvardConnection) was a social networking website launched on May 21, 2004, that was founded by Harvard students Cameron Winklevoss, Tyler Winklevoss, and Divya Narendra in December 2002.Tyler Howard Winklevoss (born August 21, 1981) is an American rower and entrepreneur.",Tyler Winklevoss founded ConnectU.,1,0.1831667,0.055746478541702,"overlap_answer_context, n_chars, n_words, cosine_ctx_ans, overlap_answer_question",plausible,plausible,yes,ai-expert,"Answer is fully supported by the context (Tyler Winklevoss is listed as a founder and a rower); low score is sensible. Dataset label=1 disagrees with the context, so the explanation is judged against the text, not the label."
q_2436_hallucinated,The inner urban neighbourhood Eureka Tower is in had a population of what in 2011?,"Eureka Tower is a 297.3 m skyscraper located in the Southbank precinct of Melbourne, Victoria, Australia.Southbank is an inner urban neighbourhood of Melbourne, Victoria, Australia, 1 km south of Melbourne's central business district. Its local government area are the Cities of Melbourne and Port Phillip. At the 2011 Census, Southbank had a population of 11,235.","Southbank had a population of 11,235.",1,0.20357479,0.0661121487525918,"overlap_answer_context, n_words, nli_ctx_contradicts_ans, n_chars, cosine_q_ans",plausible,plausible,yes,ai-expert,"Variant restates the exact supported fact (population 11,235); low score is correct behaviour. Looks like benchmark label noise."
q_5173_hallucinated,What was the company orginally named first?,"Dell Technologies Inc. is an American multinational information technology corporation based in Round Rock, Texas.Dell EMC (EMC Corporation until 2016) is an American multinational corporation headquartered in Hopkinton, Massachusetts, United States.",EMC Corporation,1,0.011443687,0.0126489817683906,"overlap_answer_context, n_words, n_chars, nli_ctx_neutral_ans, nli_ctx_contradicts_ans",unsure,plausible,no,ai-expert,R1: 'originally named first' is ambiguous and EMC Corporation is the prior name in the context. R2: overlap features and a low score are consistent with the context mention.
q_6989_hallucinated,Which air transport operations hub was commanded by the most recent serial killer profiled in the book Cold North Killers: Canadian Serial Murder?,"Cold North Killers: Canadian Serial Murder is a 2012 Canadian non-fiction book written by Lee Mellor and published by Dundurn Press. It documents the lives of sixty Canadian serial killers, with the earliest being Edward H. Rulloff and the most recent being Russell Williams.David Russell Williams (born March 7, 1963) is an English-born Canadian, convicted murderer, rapist, and former Colonel in the Canadian Forces. From July 2009 until his arrest in February 2010, he commanded CFB Trenton, a hub for air transport operations in Canada and abroad and the country's largest military airbase.",The Canadian military's largest airbase.,1,0.5180383,0.5373968222400599,"overlap_answer_context, n_chars, n_words, nli_ctx_contradicts_ans, nli_ans_neutral_ctx",unsure,unsure,yes,ai-expert,Paraphrase is textually supported but does not name the hub; score 0.54 is borderline and the features do not separate the two readings.
q_6297_correct,"Which actor from ""Lost"" is also in the film Another Earth?","It stars Brit Marling, William Mapother, and Robin Lord Taylor.William Reibert Mapother Jr. ( ; born April 17, 1965) is an American actor, best known for his role as Ethan Rom on the television series ""Lost"".",William Reibert Mapother Jr.,0,0.4940252,0.484059412239213,"overlap_answer_context, n_chars, cosine_ctx_ans, nli_ctx_neutral_ans, jaccard_ans_q",plausible,plausible,yes,ai-expert,Supported actor name; 0.48 is on the correct side and features show support.
q_4092_hallucinated,September Song was a film that starred the musician of what nationality?,"The drama unfolded over three series broadcast from 1 March 1993 to 21 March 1995 and starred comedian and actor Russ Abbot, in one of his first 'straight' television roles, as recently widowed ex-teacher Ted Fenwick, opposite Michael Williams as Billy Balsam, an old school comedian and performer and longtime friend of Ted.Russ Abbot (born Russell A. Roberts; 18 September 1947) is an English musician, comedian and actor.","Russ Abbot, an English, starred.",1,0.5193611,0.5403213865336732,"overlap_answer_context, n_chars, n_words, nli_ctx_neutral_ans, nli_ctx_entails_ans",unsure,unsure,yes,ai-expert,Nationality 'English' is supported; phrasing is non-responsive and score 0.54 sits on the boundary.
q_9100_correct,"Which was an alternative rock band, The Charlatans or Kitchens of Distinction?","The Charlatans (known in the United States as The Charlatans UK) are an English indie rock band.Kitchens of Distinction (sometimes shortened colloquially to KOD) are an English three-person alternative rock band formed in Tooting, South London in 1986.",Kitchens of Distinction,0,0.467429,0.425455347256362,"overlap_answer_context, n_words, nli_ctx_contradicts_ans, nli_ans_neutral_ctx, n_chars",plausible,plausible,yes,ai-expert,Answer matches the context definition; 0.43 is sensible.
q_8342_hallucinated,"The 2012–13 FC Bayern Munich season was the 114th season in the club's history and the 48th consecutive season in the top flight of German football, the Bundesliga, since the promotion of the team from the Regionalliga Süd in 1965, before the start of the season, Bayern signed which Brazilian professional footballer who plays for French Ligue 1 club Nice, commonly known as who?","Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",Bayern signed Claudio Pizarro.,1,0.51306766,0.5263860229972727,"overlap_answer_context, n_chars, n_words, nli_ctx_neutral_ans, nli_ctx_entails_ans",unsure,unsure,yes,ai-expert,Wrong Brazilian named (Pizarro is Peruvian); score 0.53 barely flags it and features are neutral/overlap driven rather than contradiction driven.
q_6775_correct,Which president was present for the Mexican Civil War who originated from Oaxaca?,"Agnes Salm-Salm (December 25, 1844 – December 21, 1912) was the American wife of Prince Felix zu Salm-Salm, a Prussian mercenary beside whom she played a role in the American Civil War, the Mexican Civil War between President Benito Juárez and the Austrian archduke Maximilian I of Mexico, and the Franco-Prussian War.Benito Pablo Juárez García (] ; 21 March 1806 – 18 July 1872) was a Mexican lawyer and liberal politician of Zapotec origin from Oaxaca.",liberal politician of Zapotec origin from Oaxaca.,0,0.45407054,0.3966909774928161,"overlap_answer_context, n_words, n_chars, nli_ans_neutral_ctx, overlap_answer_question",plausible,plausible,yes,ai-expert,Answer is verbatim supported; 0.40 is sensible.
q_6955_correct,USAAF station 590 is located in which parish with a WA5 postal code?,"Whittle Hall is housing estate within the parish of Great Sankey in the town of Warrington, North West England. Its more exact location is in-between the old centre of Great Sankey, the new built Chapleford, and the Omega Development Site (formerly RAF Burtonwood). The area falls under the WA5 postal code.Royal Air Force Burtonwood or more simply RAF Burtonwood is a former Royal Air Force station 2 mi northwest of Warrington, Lancashire, England. It was also known as USAAF station 590.",the parish of Great Sankey,0,0.44006753,0.3672899415767202,"overlap_answer_context, n_words, nli_ctx_neutral_ans, nli_ctx_contradicts_ans, cosine_q_ans",plausible,plausible,yes,ai-expert,Answer supported by the context paragraph; 0.37 is sensible.
